,1930,1940,1950,1960,1970,1980,1990,2000,2010
"bastard, young, stop",0.00035276145510998447,-0.00011638780540812466,-0.00010696296231038627,-0.0002232206593362207,1.9636463548522443e-05,8.83174607224646e-06,-9.091361880564364e-05,0.00033404418263671687,0.022648388691777654
"boat, ship, island",0.0004722211087972994,0.00010794842479588951,0.00014244218848946666,-2.3679150217503775e-05,-3.197774231011863e-05,2.038185073161003e-06,-0.0001011167048545758,5.1730505958857975e-06,-0.02617751965954085
"book, read, write",0.00022800340903117444,-1.1131068646363929e-05,4.408944260680947e-05,-7.178837495303014e-05,-7.259300639361754e-05,-1.8157458271161886e-05,1.4087002462304099e-05,0.0001235305871887249,-0.023873109537191795
"car, road, truck",0.00029602475157536334,4.9744418043173866e-05,0.00013721758247609017,7.985711772562354e-05,2.2541958060173783e-06,-3.1773441605764674e-05,1.2671576087086578e-05,2.8973889129702002e-05,-0.09397216732054403
"color, font, nbsp",0.0003277387841806867,-0.0008042381814822863,-0.0003792112076360654,-6.081393490831033e-05,-5.923321759837563e-05,-7.200154072961595e-05,-3.985995053312763e-05,-4.8899133389568306e-05,0.02255191642416321
"computer, system, security",0.0006207535430711175,-0.00031311901416364307,-0.0010627429559955104,-3.6386731153470464e-05,-4.337019345257431e-05,-1.9892431737389416e-06,5.5943459301488474e-05,-1.359631642117165e-05,0.007703443527134368
"dad, mom, mother",0.0008287775057822522,0.0001232298823876654,-8.567630150341232e-05,-0.00012270121078472584,-0.00010367293180024717,6.221405590167706e-05,1.5147181784413988e-06,2.219597081420943e-05,0.1325701734458562
"doctor, hospital, remember",0.00022063719451226316,3.9468752909721516e-05,7.874470059698879e-05,5.5351515584334265e-06,4.33527725363092e-05,1.3734536878473591e-05,2.893684489890802e-05,4.356807221483905e-05,-0.04441244074905626
"eat, day, time",0.0007176579315367748,7.892005364540378e-05,8.494130283409618e-05,4.3283479584488305e-05,4.1534223782946356e-05,4.573680962494109e-05,5.0667832510953303e-05,6.885720722493716e-07,-0.030480529632768594
"film, movie, scene",0.0005765794340888419,4.4334609888618814e-05,4.1919730431771995e-05,2.8949072657269426e-05,-4.756684074891382e-05,-7.324446983147936e-06,-2.1305497739376733e-05,-3.114017607686037e-05,0.010849465086721466
"find, found, years",0.0003334500724262446,2.8815604447007814e-06,1.0103704929265156e-05,-6.244409803457529e-06,-2.852765874195029e-05,-4.506516233959701e-05,-1.759252427291358e-05,0.00019882064316334436,-0.05630925878341486
"fontcolor, batman, simon",-0.030288345295884034,6.132998789820654e-05,-5.81899364380245e-05,1.0957730410154909e-05,4.734038896003767e-06,-5.287646854412742e-05,7.800451726325264e-06,-0.00011745537040042109,0.06702458175823267
"fucking, fuck, shit",-0.011169243440922516,-0.003081776979163564,-0.000443343123462947,-0.001427145054549328,-0.0009115248540183529,-0.00013785284863843117,2.4278521095766337e-05,0.0001832673151511699,0.17361414529841568
"game, win, play",0.0004592012233682885,6.442283033192275e-05,-0.00023771964092778042,-2.7790220883616712e-05,-2.055203185591381e-05,-6.232987175280869e-05,-3.543364790115078e-05,8.300450099341106e-05,0.050941735766173224
"gold, treasure, don",0.00021196692295843977,-5.8660388086662074e-05,-6.262553381164437e-05,-8.46646885293012e-05,1.506918255245182e-05,1.4115214753473992e-05,-4.2765902890096186e-05,-9.34891987753872e-05,0.027727639851718777
"guys, school, girls",-5.330431510408573e-06,7.605675163913084e-05,-9.104883557853327e-05,-8.562395851186011e-05,-0.00015003359658294357,3.0475493986159563e-06,-9.2003860117984e-05,0.00016880936891539022,0.19541438632404606
"guys, wait, shit",0.0005558480988743231,-0.0008834937618962257,-0.0002927964873253863,-0.0005239370548224542,-0.00042452507295820396,-3.043870674446225e-05,-0.00016099915410450194,-4.932334559271112e-05,0.41229104816284234
"house, night, door",0.0007292486665925191,0.00011493010790952773,0.00010227276466068247,0.0001337825387963676,6.089111548135406e-05,-4.448954314284492e-06,-9.161256457446143e-06,3.846595518552931e-05,-0.041073543877246266
"human, people, virus",0.0005089868450836033,0.00010859585259415105,0.00014647730710715123,2.2794376491219737e-05,4.559747321764007e-05,-1.337771470844018e-05,-2.4524362743250094e-05,4.3318817915860564e-05,-0.09722712655022292
"kill, dead, killed",0.00045671458313290003,-2.428993574721261e-05,5.32233684187311e-05,0.00022512306350108702,8.753993552090833e-05,3.708013719005976e-05,0.00011516679182932421,0.00014643439317296725,0.023897642249266937
"king, father, princess",0.0007233906036171467,0.00016627567549676314,0.0001241264914306761,0.0001227368866238976,-7.441067714353267e-05,-5.438198940055372e-05,-4.012214367321576e-05,-0.00011218813415325712,-0.024290393175760983
"leave, understand, time",0.0009748216991558034,0.0002324085675855514,7.785348667066483e-05,0.00031122827567742206,0.00045407386642182246,0.0001245610319529078,-5.72923800064018e-05,-0.00016655573199386708,-0.259247911060811
"love, heart, life",0.0007847133907796788,6.676955185716538e-05,5.7122166561729415e-05,6.707256488880375e-05,-4.551313764977749e-05,-4.626165787158243e-05,-5.545031581277726e-05,6.702808013869799e-05,-0.0917676967051193
"magic, vampire, witch",0.00023965202499054428,-5.719490457689602e-06,6.331376966706159e-06,-2.6208488066004065e-05,2.134982423740439e-06,-1.5444397376995767e-05,-3.413466788515507e-05,3.5063894756603986e-06,0.018374764950749523
"man, hell, guy",0.0011669549243249477,0.00022308571349238804,-0.0002460433926967376,-4.0072924093692563e-05,0.0004030387189004614,0.0002858425650629215,0.00025553047453286126,5.1853364311682526e-05,-0.42366343696357944
"man, horse, town",0.0013557097295371356,0.0002621016199941817,0.00038028134589751517,0.00019219769274059217,1.0185211522184545e-05,-7.695153271924937e-06,-1.9140094991598744e-05,-8.105599044938572e-05,-0.07566440512164263
"master, sword, kill",0.0008509980110708026,0.00017703356657550184,0.00011561652309366455,1.5841462300159037e-05,0.00017944654246093705,2.437731109239394e-05,-2.8566141736519057e-05,-0.00014652184108854271,-0.08559009503005655
"mate, bit, bloody",0.0002664126108551379,0.0001268444222128906,-0.0004606638211293035,-0.00017682700308796484,6.529867414428736e-05,1.8769151211017743e-05,-3.920584856587084e-05,6.51829877824639e-05,0.037320357754197175
"money, pay, business",0.000482239741405488,0.0001665259519123552,4.199840876051297e-05,0.00023264443370862864,4.946526769344928e-05,-9.423907840755419e-05,-8.18317516859679e-05,-6.30156323495612e-05,0.12688078104696388
"music, dramatic, suspenseful",0.00014313552670730534,-5.4113344413075914e-05,-1.2756994775875441e-05,1.3486749139701715e-06,-0.00010403644296275161,-8.326962824867223e-05,-0.00010617842508509057,-7.10843269189354e-05,0.010714802560926273
"people, country, government",0.000673737064001867,0.00014113157350692518,1.0425401337998963e-05,-1.8682128029468004e-05,-5.484566372615518e-06,-2.6476353468751768e-05,1.1570706192287616e-05,-3.6840029679297004e-05,0.04130920232455537
"plane, train, minutes",0.0004245866223360206,0.00014708165953436492,7.796232031820338e-05,8.944327964854892e-05,-1.954297931661131e-05,-8.777540233495529e-05,-2.3370703274849802e-06,-4.76019727102539e-06,-0.05105764667450785
"police, car, call",0.0008560294239183808,0.00010900102784994203,0.00021088348805209378,-1.087889449991053e-05,3.536504812018393e-05,7.089895348144637e-05,5.023625817557331e-05,1.7912346265802626e-05,0.04558954423737305
"police, found, case",0.0006234908179735821,0.00016563344975795147,0.00013290327430492965,4.568184294839739e-05,-9.666956566434237e-05,-6.675147778878454e-05,3.118745644314913e-05,1.3935906281403732e-05,0.02351788425585255
"screaming, chuckles, man",0.0009036568984764348,-0.00020565986213183507,-0.0003834584713826583,-4.257471300661564e-05,0.00017387325624440564,2.0543850496324012e-05,-3.6491263017524034e-05,-0.00026345186597609427,0.34403711942104565
"ship, sir, planet",-0.002259476232358004,-0.00039472229897707933,-2.8223049762243768e-05,-8.570884438086068e-05,-2.192378519794147e-05,-8.438947679678677e-05,-6.309609102572722e-05,6.156563949843985e-05,-0.05724992995328648
"sir, leave, brother",-0.00010495222063525156,0.00022793464410142406,6.510517635671675e-05,7.38526223358349e-05,3.700817069329787e-05,-2.662130509634153e-05,6.293729711615015e-06,2.8499573545559542e-05,0.21153001235325064
"sir, man, dear",0.0011490692749216436,0.0001805187399392949,0.00011698315687391769,0.00012391324889904354,4.774925037054345e-05,7.917338962215581e-06,3.601805428843363e-05,-0.0004021578934043646,-0.6143387349147815
"sir, men, war",0.0004841197087145227,0.00010147414798922227,0.0001539562798775762,-2.911781848524697e-06,-5.223672673082547e-05,-1.8639679637999507e-05,1.5299783626687713e-05,-7.473918140021851e-05,-0.025589613844203996
"sir, move, man",-0.0020491945643463794,-0.0003817589786465625,-0.0006402045028739423,-7.498262039007386e-05,-0.00043912419459957164,-7.684134561714018e-05,-3.147782990708947e-06,3.348782229295466e-05,0.18535806276850053
"soul, man, evil",0.0003611727244012819,7.627628933448705e-05,6.195207262837954e-05,3.9444435060431715e-06,5.171671182324644e-05,-2.1518266748898895e-05,-1.1508840543683618e-05,-3.251598764109076e-05,0.012285609838727396
"speaking, spanish, man",0.00022728580648312402,5.6320345188876075e-05,-0.00014674215446230932,-9.580842689160818e-05,-0.00010002016415455728,-2.562605470757262e-05,-0.00010853667799892719,-7.709746114414884e-05,-0.02210270682007831
"stop, wait, time",0.00016422242596503267,8.992929744500167e-05,0.00012597040372241963,7.911932084425644e-05,1.4841033532775327e-05,6.15077314591872e-06,-3.950490372517379e-05,-1.0191784895141609e-05,-0.10184347996414544
"time, call, night",0.0006538260499828752,0.0004109155379810048,0.0003000916000543974,9.728718760015909e-05,0.00021767704311059788,4.079887048646924e-05,0.00012785512808477506,7.846576590964105e-05,0.14219187509479525
"time, life, years",0.00031714927451087505,8.140055773553367e-05,-2.911380417058851e-05,0.0001047712585204863,2.2368820282281376e-05,-9.396318273502402e-05,-0.0001225065016114968,6.49404196337855e-05,0.1999415733043861
"time, stop, leave",0.0007312182829579683,0.00014670101830827065,-3.7696223184502387e-05,4.011679266113788e-06,1.2316111224208726e-05,2.5713958848427865e-05,4.747758976009209e-05,0.00013957365990791004,-0.15680866587172204
"time, wait, make",0.00021230023411034082,0.00015088381969663445,7.329270159828205e-05,4.121609435969731e-05,2.171135838580085e-05,-4.253684389254886e-05,-3.235443693938578e-05,-2.3928640757731046e-06,0.11554543715101318
"time, world, planet",0.0007255320875885207,0.0001398608533926815,0.0002518459916318605,0.00019428697032708442,0.00010602853365071496,2.9194416185873706e-05,8.21364781131706e-05,-0.0001613911563254078,-0.0870262320177062
"village, find, water",0.0006162621170831273,0.0001534424296689707,0.0001820052495744573,7.037366231088527e-05,1.718660189453658e-05,2.9549582336585445e-07,-2.9654522222699597e-05,5.1798810318359756e-05,-0.04851861402948998
"world, power, time",0.0008954133989713675,0.00021247025208204207,-4.708869972813723e-05,-3.4673791674322274e-05,-0.00015549133604508825,2.4633439352328423e-05,2.229327492386801e-05,0.00017005565678118728,0.045589853296405636
